guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,3,5,60,0,3,24,153,-0.723,0.655,18.5,55,1.235,1.476,38.4,-14.9,4
none,3,5,60,0,3,48,153,-0.723,0.655,18.5,55,1.235,1.476,38.4,-14.9,4
none,3,5,60,0,5,0,141,-1.036,0.659,27.9,49,1.972,1.708,52.5,-14.7,5
none,3,5,60,0,5,24,141,-1.036,0.659,27.9,49,1.972,1.708,52.5,-14.7,5
none,3,5,60,0,5,48,141,-1.036,0.659,27.9,49,1.972,1.708,52.5,-14.7,5
none,3,5,60,2,2,0,156,-0.127,0.933,25.9,57,0.403,1.256,41.5,-9.7,4
none,3,5,60,2,2,24,156,-0.127,0.933,25.9,57,0.403,1.256,41.5,-9.7,4
none,3,5,60,2,2,48,156,-0.127,0.933,25.9,57,0.403,1.256,41.5,-9.7,4
none,3,5,60,2,3,0,153,-0.257,0.825,32.7,55,0.105,1.004,45.1,-14.0,3
none,3,5,60,2,3,24,153,-0.257,0.825,32.7,55,0.105,1.004,45.1,-14.0,3
none,3,5,60,2,3,48,153,-0.257,0.825,32.7,55,0.105,1.004,45.1,-14.0,3
none,3,5,60,2,5,0,141,-0.390,0.828,44.7,49,1.182,1.678,66.2,-11.1,5
none,3,5,60,2,5,24,141,-0.390,0.828,44.7,49,1.182,1.678,66.2,-11.1,5
none,3,5,60,2,5,48,141,-0.390,0.828,44.7,49,1.182,1.678,66.2,-11.1,5
none,3,5,60,3,2,0,156,-0.186,0.886,23.8,57,0.495,1.275,38.4,-10.0,4
none,3,5,60,3,2,24,156,-0.186,0.886,23.8,57,0.495,1.275,38.4,-10.0,4
none,3,5,60,3,2,48,156,-0.186,0.886,23.8,57,0.495,1.275,38.4,-10.0,4
none,3,5,60,3,3,0,153,-0.301,0.794,30.6,55,0.175,1.009,42.1,-14.5,3
none,3,5,60,3,3,24,153,-0.301,0.794,30.6,55,0.175,1.009,42.1,-14.5,3
none,3,5,60,3,3,48,153,-0.301,0.794,30.6,55,0.175,1.009,42.1,-14.5,3
none,3,5,60,3,5,0,141,-0.402,0.823,42.3,49,1.142,1.507,60.8,-12.0,5
none,3,5,60,3,5,24,141,-0.402,0.823,42.3,49,1.142,1.507,60.8,-12.0,5
none,3,5,60,3,5,48,141,-0.402,0.823,42.3,49,1.142,1.507,60.8,-12.0,5
none,3,5,70,0,2,0,156,-0.527,0.701,11.9,57,2.271,2.362,35.3,-10.8,5
none,3,5,70,0,2,24,156,-0.527,0.701,11.9,57,2.271,2.362,35.3,-10.8,5
none,3,5,70,0,2,48,156,-0.527,0.701,11.9,57,2.271,2.362,35.3,-10.8,5
none,3,5,70,0,3,0,153,-0.563,0.709,15.9,55,1.813,1.707,37.2,-14.9,4
none,3,5,70,0,3,24,153,-0.563,0.709,15.9,55,1.813,1.707,37.2,-14.9,4
none,3,5,70,0,3,48,153,-0.563,0.709,15.9,55,1.813,1.707,37.2,-14.9,4
none,3,5,70,0,5,0,141,-0.799,0.733,25.0,49,2.291,1.767,48.6,-16.4,5
none,3,5,70,0,5,24,141,-0.799,0.733,25.0,49,2.194,1.731,48.6,-16.6,5
none,3,5,70,0,5,48,141,-0.799,0.733,25.0,49,2.291,1.767,48.6,-16.4,5
