guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,2,10,70,0,2,0,6216,-0.145,0.777,55.7,2698,-0.204,0.659,54.2,-69.4,0
none,2,10,70,0,2,24,6216,-0.145,0.777,55.7,2698,-0.204,0.659,54.2,-69.4,0
none,2,10,70,0,2,48,6216,-0.145,0.777,55.7,2698,-0.204,0.659,54.2,-69.4,0
none,2,10,70,0,3,0,5571,-0.125,0.805,57.8,2413,-0.222,0.638,54.4,-70.1,0
none,2,10,70,0,3,24,5571,-0.125,0.805,57.8,2413,-0.222,0.638,54.4,-70.1,0
none,2,10,70,0,3,48,5571,-0.125,0.805,57.8,2413,-0.222,0.638,54.4,-70.1,0
none,2,10,70,0,5,0,5111,-0.099,0.837,58.9,2247,-0.221,0.634,55.4,-67.5,0
none,2,10,70,0,5,24,5111,-0.099,0.837,58.9,2247,-0.221,0.633,55.4,-67.7,0
none,2,10,70,0,5,48,5111,-0.099,0.837,58.9,2247,-0.221,0.634,55.4,-67.5,0
none,2,10,70,2,2,0,6228,-0.143,0.778,56.0,2701,-0.204,0.658,54.5,-69.5,0
none,2,10,70,2,2,24,6228,-0.143,0.778,56.0,2701,-0.204,0.658,54.5,-69.5,0
none,2,10,70,2,2,48,6228,-0.143,0.778,56.0,2701,-0.204,0.658,54.5,-69.5,0
none,2,10,70,2,3,0,5583,-0.128,0.798,58.2,2418,-0.223,0.635,54.7,-70.1,0
none,2,10,70,2,3,24,5583,-0.128,0.798,58.2,2418,-0.223,0.635,54.7,-70.1,0
none,2,10,70,2,3,48,5583,-0.128,0.798,58.2,2418,-0.223,0.635,54.7,-70.1,0
none,2,10,70,2,5,0,5126,-0.098,0.836,59.2,2252,-0.220,0.632,55.7,-67.5,0
none,2,10,70,2,5,24,5126,-0.098,0.836,59.2,2252,-0.221,0.631,55.7,-67.7,0
none,2,10,70,2,5,48,5126,-0.098,0.836,59.2,2252,-0.220,0.632,55.7,-67.5,0
none,2,10,70,3,2,0,6219,-0.146,0.774,55.8,2698,-0.207,0.654,54.3,-69.7,0
none,2,10,70,3,2,24,6219,-0.146,0.774,55.8,2698,-0.207,0.654,54.3,-69.7,0
none,2,10,70,3,2,48,6219,-0.146,0.774,55.8,2698,-0.207,0.654,54.3,-69.7,0
none,2,10,70,3,3,0,5574,-0.129,0.799,57.9,2413,-0.225,0.633,54.5,-70.3,0
none,2,10,70,3,3,24,5574,-0.129,0.799,57.9,2413,-0.225,0.633,54.5,-70.3,0
none,2,10,70,3,3,48,5574,-0.129,0.799,57.9,2413,-0.225,0.633,54.5,-70.3,0
none,2,10,70,3,5,0,5115,-0.101,0.833,58.9,2247,-0.228,0.622,55.4,-68.3,0
none,2,10,70,3,5,24,5115,-0.101,0.833,58.9,2247,-0.229,0.621,55.4,-68.4,0
none,2,10,70,3,5,48,5115,-0.101,0.833,58.9,2247,-0.228,0.622,55.4,-68.3,0
none,2,15,60,0,2,0,8724,-0.159,0.715,55.0,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,0,2,24,8724,-0.159,0.715,55.0,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,0,2,48,8724,-0.159,0.715,55.0,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,0,3,0,7909,-0.145,0.736,56.4,3397,-0.237,0.561,52.8,-81.6,0
none,2,15,60,0,3,24,7909,-0.145,0.736,56.4,3397,-0.237,0.561,52.8,-81.6,0
none,2,15,60,0,3,48,7909,-0.145,0.736,56.4,3397,-0.237,0.561,52.8,-81.6,0
none,2,15,60,0,5,0,7349,-0.135,0.742,56.8,3184,-0.240,0.544,53.4,-80.0,0
none,2,15,60,0,5,24,7349,-0.135,0.742,56.8,3185,-0.240,0.544,53.4,-80.0,0
none,2,15,60,0,5,48,7349,-0.135,0.742,56.8,3184,-0.240,0.544,53.4,-80.0,0
none,2,15,60,2,2,0,8732,-0.159,0.713,55.1,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,2,2,24,8732,-0.159,0.713,55.1,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,2,2,48,8732,-0.159,0.713,55.1,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,2,3,0,7917,-0.147,0.731,56.5,3399,-0.237,0.561,52.9,-81.5,0
none,2,15,60,2,3,24,7917,-0.147,0.731,56.5,3399,-0.237,0.561,52.9,-81.5,0
none,2,15,60,2,3,48,7917,-0.147,0.731,56.5,3399,-0.237,0.561,52.9,-81.5,0
none,2,15,60,2,5,0,7358,-0.136,0.737,56.9,3185,-0.239,0.546,53.4,-79.9,0
none,2,15,60,2,5,24,7358,-0.136,0.737,56.9,3186,-0.239,0.546,53.4,-79.9,0
none,2,15,60,2,5,48,7358,-0.136,0.737,56.9,3185,-0.239,0.546,53.4,-79.9,0
none,2,15,60,3,2,0,8725,-0.160,0.712,55.0,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,3,2,24,8725,-0.160,0.712,55.0,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,3,2,48,8725,-0.160,0.712,55.0,3736,-0.219,0.587,52.4,-81.5,0
none,2,15,60,3,3,0,7910,-0.146,0.734,56.5,3397,-0.237,0.560,52.8,-81.6,0
none,2,15,60,3,3,24,7910,-0.146,0.734,56.5,3397,-0.237,0.560,52.8,-81.6,0
none,2,15,60,3,3,48,7910,-0.146,0.734,56.5,3397,-0.237,0.560,52.8,-81.6,0
none,2,15,60,3,5,0,7350,-0.136,0.739,56.8,3184,-0.240,0.544,53.4,-80.0,0
none,2,15,60,3,5,24,7350,-0.136,0.739,56.8,3185,-0.240,0.544,53.4,-80.0,0
none,2,15,60,3,5,48,7350,-0.136,0.739,56.8,3184,-0.240,0.544,53.4,-80.0,0
